id,title,category,contribution,shortDescription,longDescription
1,비어있음,,,,
2,기운찬한방병원,"renewal, maintenance","반응형 퍼블리싱 및 인터랙션 100% 구현, 스타일 가이드를 통한 일관된 UI 최적화, 유지보수 퍼블리싱",의료 정보를 체계적으로 재설계한 반응형 리뉴얼,"기존 웹 빌더 시스템의 높은 유지보수 비용 문제를 해결하고, 방대한 의료 데이터를 안정적으로 이관하기 위한 전면 리뉴얼 프로젝트였습니다. 여러 진료 과목이 복잡하게 혼재되어 있던 정보를 사용자 중심으로 재구성하기 위해 정보 구조(IA)를 설계 단계부터 다시 정립하였으며, 수많은 서브 페이지를 효율적으로 관리할 수 있도록 체계적인 스타일 가이드를 수립했습니다."
3,주연여성의원,"new, maintenance","반응형 퍼블리싱 및 인터랙션 100% 구현, 브랜드 아이덴티티를 반영한 UI 구현, 유지보수 퍼블리싱",우아하고 섬세한 브랜드 감성을 담아낸 프리미엄 반응형 웹사이트 런칭,"여성 전문 의원으로서의 신뢰감과 고유한 브랜드 정체성을 확보하기 위해 감각적인 시각화와 섬세한 인터랙션이 강조된 신규 런칭 프로젝트입니다."
4,이스트폴담우이비인후과의원,new,"인터랙티브 랜딩페이지 퍼블리싱 100%, 요구사항 분석 및 유연한 UI 대응",브랜드 가치를 집약적으로 전달하는 1페이지 랜딩페이지 구축,"개원 준비 단계에서 발생하는 빈번한 요구사항 변경에 유연하게 대응하며, 병원의 핵심 가치를 집약적으로 전달하는 1페이지 랜딩페이지를 구축했습니다."
5,베스트연합의원,"renewal, maintenance","반응형 퍼블리싱 100%, 방문진료 예약 시스템 설계 및 CMS 고도화",사용자 예약 편의성과 관리 효율을 동시에 극대화한 방문진료 맞춤형 리뉴얼,"환자의 예약 편의성과 병원 행정의 효율성을 동시에 높이기 위해 방문진료 상담 신청 시스템을 새롭게 구축한 리뉴얼 프로젝트입니다."
6,서울에이스병원,maintenance,"진료 상세페이지 구축 100%, 의료진 프로필 및 이벤트 페이지 유지보수",대규모 의료 정보의 체계화와 다수의 신규 상세페이지 구축 및 유지보수,"의료진 프로필과 진료 시간표 등 업데이트가 잦은 대형 병원 웹사이트의 특성을 고려하여, 운영 안정성과 확장성에 집중한 프로젝트입니다."
7,성남센트럴안과의원,"renewal, maintenance","메인 페이지 리뉴얼 및 진료 상세페이지 퍼블리싱 100%, 인터랙티브 스크롤 애니메이션 구현",역동적인 인터랙션과 세련된 레이아웃 구현으로 브랜드 생동감을 높인 반응형 리뉴얼,"기존 메인 페이지를 보다 역동적이고 세련되게 개선한 index 리뉴얼 프로젝트로, 스크롤 애니메이션과 시각적 인터랙티브 요소를 활용해 생동감 넘치는 브랜드 이미지를 구축했습니다."
8,테라기획,renewal,"기업 홈페이지 리뉴얼 퍼블리싱 100%, 300+ 진행 프로젝트·94% 재계약률 수치 강조 섹션 및 마케팅 프로그램 카드 UI 구현","300+ 진행 프로젝트·94% 재계약률을 강조하고 5가지 마케팅 프로그램을 체계화한 병원 마케팅 기업 리뉴얼","CountUp 애니메이션 형식으로 실적 수치를 메인에 배치하여 신뢰도를 즉각 전달하는 병원 마케팅 기업 리뉴얼 프로젝트입니다."
9,나이스병원,"new, maintenance","메인 및 전 서브페이지 퍼블리싱 100%, 기획·디자인·개발 유관 담당자와 유기적 협업 및 상시 유지보수",실무 협업 프로세스를 익히고 프로젝트의 완성도를 높인 리뉴얼 및 유지보수,"입사 후 첫 프로젝트로서 메인 및 전체 서브페이지의 퍼블리싱을 전담한 대규모 신규 런칭 프로젝트입니다."
10,목동서울정형외과의원,new,"랜딩페이지 퍼블리싱 100% 및 반응형 최적화",비수술 치료의 전문성과 신뢰도를 시각화한 반응형 랜딩페이지,"미디어 쿼리를 정교하게 제어한 반응형 랜딩페이지 프로젝트입니다. 병원 마케팅 특화 레이아웃을 전략적으로 활용하여 전체 제작 공정을 약 25% 단축하였으며 Slick/AOS 라이브러리를 활용했습니다."
11,삼성동작내과의원,new,"반응형 퍼블리싱 100%, 탭 구조 인터랙션 구현 및 검색 최적화(SEO)",탭 인터랙션과 자동 슬라이드로 정보 접근성을 높인 반응형 랜딩페이지,"탭 구조의 인터랙션과 자동 슬라이딩 기능을 적용한 신규 구축 프로젝트입니다. 병원 인수에 따른 브랜드 인지도 제고를 위해 핵심 키워드 중심의 정교한 SEO 작업을 수행했습니다."
12,우리의내과의원,new,"반응형 퍼블리싱 100%, 템플릿 최적화 및 라이브러리 연동",템플릿 최적화와 인터랙션으로 제작 효율과 몰입감을 높인 랜딩페이지,"기존 템플릿의 효율성과 고도화된 커스텀 기능을 결합하여 제작 공정이 약 25% 단축된 효율 중심의 프로젝트입니다. CountUp 라이브러리, hover 인터랙션, Slick/AOS 효과를 활용했습니다."
13,서울매일365의원,new,"반응형 퍼블리싱 100%, 카드 UI 디자인 구현 및 섹션별 인터랙티브 요소 최적화",카드형 레이아웃과 직관적인 호버 인터랙션으로 정보 전달력을 높인 반응형 웹사이트,"카드 형식의 레이아웃으로 정보 가독성을 높이고, PC 호버 인터랙션과 모바일 Slick Slide를 디바이스별로 최적화하여 구현한 신규 구축 프로젝트입니다."
14,미아삼성정형외과의원,new,"반응형 퍼블리싱 100%, 수술·비수술 클리닉 섹션 UI 구현",교수 출신 원장의 신뢰도와 수술·비수술 치료를 직관적으로 대비시킨 정형외과 랜딩페이지,"교수 출신 원장 이력을 시각적으로 최우선 배치하고, 아이콘형 카드 UI로 진료 카테고리를 구조화하여 정보 탐색 편의성을 높인 정형외과 랜딩페이지입니다."
15,올바른마디튼튼의원,new,"반응형 퍼블리싱 100%, 프랜차이즈 표준 레이아웃 적용 및 지점 특화 커스터마이징",프랜차이즈 브랜드 아이덴티티를 유지하면서 야간 진료와 비수술 치료를 부각한 지역 맞춤형 정형외과 웹사이트,"프랜차이즈 표준 레이아웃을 기반으로 야간 진료·비수술 통증 치료 등 지점 차별화 포인트를 전략적으로 강조하고, 세분화된 네비게이션 구조를 구현한 신규 런칭 프로젝트입니다."
16,리얼유의원,"renewal, maintenance","index 페이지 리뉴얼 100% 퍼블리싱, Hero 영상 백드롭 및 AOS 스크롤 애니메이션 구현","Hero 영상 백드롭과 AOS 스크롤 애니메이션으로 브랜드 감성을 강화한 클리닉 메인 리뉴얼","피부 클리닉의 브랜드 이미지 고도화를 위해 메인 페이지를 리뉴얼한 프로젝트입니다. Hero 섹션에 자동 재생 영상 백드롭을 적용해 진입 즉시 세련된 프리미엄 감성을 전달하도록 설계했으며, AOS 라이브러리를 활용한 섹션별 등장 애니메이션으로 페이지 몰입감을 높였습니다."
17,다정해정신건강의학과의원,new,"반응형 퍼블리싱 100%, 심리적 안정감을 고려한 톤앤매너 구현 및 다중 진료 클리닉 IA 설계",성신여대 인근 정신건강 클리닉의 심리적 문턱을 낮추는 편안한 UI/UX 반응형 웹사이트,"편안한 톤앤매너와 명확한 IA를 설계한 정신건강의학과 신규 런칭 프로젝트입니다. 과도한 인터랙션을 배제하고 텍스트 가독성을 최우선으로 설계하여 정보 전달의 본질에 충실했습니다."
18,안양바르다정형외과의원,new,"반응형 퍼블리싱 100%, 척추·관절·수족부 클리닉 다중 카테고리 네비게이션 구조화",박달동 정형외과 전문의의 10년 임상 경험과 책임 진료를 강조한 신뢰도 중심 반응형 웹사이트,"10년 이상의 임상 경험을 바탕으로 정확한 진단과 치료 방향을 제시하는 원장의 이력을 중심으로 신뢰도를 구축한 신규 런칭 프로젝트입니다."
19,서울아름산부인과의원,new,"반응형 퍼블리싱 100%, 다중 여성 진료 클리닉 카테고리 구조화 및 Mobile-First 레이아웃 구현",서울대병원 출신 여의사의 신뢰도와 야간 진료를 강조한 평촌 산부인과 반응형 웹사이트,"서울대학교병원 출신 여의사 원장의 전문성을 메인에 배치하고, 5개 진료 카테고리를 탭 메뉴로 체계화한 신규 런칭 프로젝트입니다. Mobile-First 기반으로 반응형 레이아웃을 설계했습니다."
20,대구참튼튼병원,"renewal, maintenance","메인 리뉴얼 퍼블리싱 및 2년 운영 유지보수, 계명대 동산의료원 외래 부교수 원장 신뢰 로직 중심 UI 구성",척추·관절·내과·도수 4개 진료와 계명대 출신 원장의 전문성을 중심으로 재구성한 대구 참튼튼병원 리뉴얼·유지보수,"계명대학교 동산의료원 외래 부교수 원장의 학술적 배경을 신뢰 로직 중심으로 배치하고, 6개 진료 분야를 번호 카드 UI로 정렬한 대구 참튼튼병원 리뉴얼 및 2년 운영 유지보수 프로젝트입니다."
21,구로참튼튼병원,"new, maintenance","신규 런칭 퍼블리싱 및 4년 장기 유지보수, 본관+신관 다과 진료 정보 및 신규 섹션 콘텐츠 관리","척추·관절·신경과(본관)와 건강검진·유방갑상선·소화기내과·부인과(신관)를 보유한 구로 참튼튼병원 런칭·유지보수","신규 런칭부터 4년 장기 유지보수까지 전 과정을 담당한 프로젝트입니다. 본관과 신관의 다과 진료 정보를 분리해 콘텐츠를 관리하였으며, 신관 증설에 따른 신규 서브페이지를 추가 구축했습니다."
22,올바른정형외과의원,new,"반응형 퍼블리싱 100%, 척추·관절·수족부 클리닉 다중 카테고리 IA 설계 및 장비 안내 페이지 구현",올바른 프랜차이즈 표준 레이아웃을 기반으로 척추·관절 클리닉 정보를 체계화한 정형외과 반응형 웹사이트,"올바른 프랜차이즈 계열의 표준 웹사이트로, 진료과목부터 비수술 치료·장비 안내까지 완성도 높은 IA를 설계하고 퍼블리싱한 신규 런칭 프로젝트입니다."
23,예쁨의정석의원,new,"반응형 퍼블리싱 100%, 피부·비만·비뇨기 다중 클리닉 카테고리 구조화 및 호버 인터랙션 구현",피부·비만·비뇨기 클리닉을 세분화한 다중 시술 카테고리 구조의 미용의원 신규 반응형 웹사이트,"다양한 진료 분야를 명확한 카테고리로 구분하여 시술 정보 탐색 편의성을 극대화하고, 마우스 호버 인터랙션으로 브랜드 감각을 표현한 신규 런칭 프로젝트입니다."
24,삼성탑정형외과의원,new,"반응형 퍼블리싱 100%, 도농역 접근성 강조 UI 및 진료 카테고리 정보 구조화",도농역 이마트 2층 위치의 접근성과 의료용 첨단 장비를 강조한 정형외과 신규 반응형 웹사이트,"경의중앙선 도농역 1번 출구 이마트 2층이라는 접근성을 강조하고, 야간 진료 시간을 레이아웃 상단에 배치하여 환자 유입을 유도한 신규 런칭 프로젝트입니다."
25,노원참튼튼병원,maintenance,"절업 안내 페이지 구축 및 4년 운영 유지보수, 병원 휴원(2026.02) 안내 UI 관리",4년 운영 유지보수 후 2026년 2월 휴원까지 전 수명 주기를 담당한 노원 참튼튼병원 담당 프로젝트,"4년간 운영 유지보수를 전담하며 진료시간·의료진·이벤트 변경에 신속 대응한 노원 참튼튼병원 프로젝트입니다. 2026년 2월 휴원 결정에 따라 휴원 안내 페이지를 신속하게 구축하여 웹사이트 운영 종료까지 관리했습니다."
26,올바른재활의학과의원,new,"반응형 퍼블리싱 100%, 증상 부위별 통증 네비게이션 설계 및 일요일 도수치료 강조 UI 구현",통증 부위별 직관적 네비게이션과 일요일 도수치료 운영을 강조한 굽은다리역 재활의학과 웹사이트,"원광대 약학과·경희대 의학전문대학원 출신 원장 이력과 일요일 도수치료 운영을 레이아웃 상단에 배치하고, 통증 부위 기반 네비게이션으로 환자 접근성을 높인 신규 런칭 프로젝트입니다."
27,청담튼튼병원,"renewal, maintenance","웹사이트 운영 총괄 유지보수, 서버 마이그레이션 수행 및 6개 지점 공유 콘텐츠 관리",2010년부터 비수술 치료 중심의 6개 지점 참튼튼 네트워크를 지원하는 실적 기반 중대형 병원 웹사이트 장기 운영,"6개 지점 실적을 수만 례 수치로 노출하는 대표 웹사이트를 4년간 운영한 프로젝트입니다. 서버 이전·관리자 페이지 리뉴얼·데이터 마이그레이션 등 고난도 기술 과업을 서비스 중단 없이 수행했습니다."
28,탑정형외과의원,new,"반응형 퍼블리싱 100%, 척추·관절·골절 센터 구분 UI 및 다양한 비수술 치료 정보 구조화",고려대 의학박사·삼성서울병원·강원대 교수 출신 원장의 전문성과 줄기세포·도수치료를 부각한 원주 정형외과 웹사이트,"화려한 원장 이력을 메인 비주얼로 전면 배치하고, 6가지 비수술 치료를 카드 레이아웃으로 정리하여 환자가 단계별 치료 옵션을 직관적으로 탐색하도록 설계한 신규 런칭 프로젝트입니다."
29,성모김내과의원,new,"반응형 퍼블리싱 100%, 건강검진·내시경 중심 진료과목 구조화 및 의료진 이력 강조 UI 구현",가톨릭중앙의료원 출신의 소화기내과·내시경 전문의를 부각한 부천 내과 신규 반응형 웹사이트,"가톨릭중앙의료원 소화기내과 전임의 출신 원장의 전문성을 메인에 강조하고, 1만례 이상 내시경 시행 실적을 신뢰 지표로 배치한 신규 런칭 프로젝트입니다."
30,태전튼튼정형외과의원,new,"반응형 랜딩페이지 퍼블리싱 100%, 증상 부위별 인터랙티브 정보 카드 및 네이버 예약 연동 UI 구현",목·허리·어깨·무릎 증상별 인터랙티브 정보 카드와 네이버 예약 연동을 구현한 정형외과 마케팅 랜딩페이지,"증상 부위별 아코디언형 정보 카드를 구현하여 환자가 치료 정보를 즉각 확인하도록 설계하고, 네이버 예약 연동 버튼 UI를 전략적으로 배치하여 온라인 예약 전환(CTA)을 유도한 랜딩페이지입니다."
31,강동모커리한방병원,new,"이벤트 랜딩페이지 단독 퍼블리싱 및 기존 Gnuboard 예약 시스템 연동 구현",Gnuboard 예약 시스템 연동과 빠른 개발 일정을 결합한 한방병원 프로모션 랜딩페이지,"기존 Gnuboard 기반 시스템과 온라인 예약 연동을 병행하며, 핵심 프로모션 메시지를 강렬하게 전달하는 비주얼 중심 레이아웃을 빠른 일정 내에 완성한 이벤트 랜딩페이지입니다."
32,서울청정신건강의학과의원,new,"반응형 퍼블리싱 100%, 강남·판교 2개 지점 멀티 브랜치 구조 및 특화 클리닉 카테고리 UI 구현",강남·판교 2개 지점 공유 브랜드를 기반으로 직장인·성인ADHD·난치성우울증 특화 클리닉을 세분화한 정신건강의학과 웹사이트,"강남점과 판교점 2개 지점을 동일 브랜드로 운영하는 정신건강의학과의 신규 런칭 프로젝트입니다. 세분화된 진료 카테고리를 명확한 네비게이션으로 구현하고 지점별 안내 페이지를 별도 구성하여 브랜드 신뢰도를 높였습니다."
33,청담더유외과의원,maintenance,"메인/서브 페이지 구축 및 유지보수 전담, 가슴수술·안전우선시스템·수술후기 섹션 UI 관리",하루 1건 수술 원칙과 평생보장 관리시스템을 강조한 청담 가슴성형 외과 웹사이트 구축·유지보수,"하루 1건 수술과 평생보장 관리시스템이라는 차별화 원칙을 명확하게 전달하는 가슴성형 전문 외과 웹사이트 구축 및 유지보수 프로젝트입니다."
34,위즈닥터스,"renewal, maintenance","리뉴얼 퍼블리싱 100%, 개원 입지선정·준비대행·경영관리 서비스 구조화 및 4년 장기 유지보수",20년 개원 컨설팅 노하우와 성공적인 마케팅 플랫폼을 강조한 병원 개원 전문 기업 리뉴얼·유지보수,"20년 노하우를 핵심 헤드카피로 배치하고 서비스 영역별 섹션 구조를 재설계한 병원 개원 컨설팅 전문 기업 리뉴얼 프로젝트입니다. 4년간 장기 유지보수를 전담하며 콘텐츠 업데이트와 기능 고도화를 지원했습니다."
35,동대문참튼튼병원,maintenance,"메인 리뉴얼 퍼블리싱 및 3년 운영 유지보수, 성장클리닉·도수·건강검진 신규 섹션 구축",디스크·인공관절·하지정맥류와 성장클리닉을 보유한 동대문 다미뷰 첨단 병원 리뉴얼·유지보수,"성장클리닉 도입에 따른 신규 서브페이지를 추가 구축하고, 치료후기·뉴스레터·영상 콘텐츠를 3년간 지속 업데이트하며 병원 디지털 커뮤니케이션을 안정적으로 운영한 프로젝트입니다."
36,캠프나인치과의원,renewal,"반응형 리뉴얼 퍼블리싱, 서울대 치과대·삼성서울병원 출신 원장 신뢰 강조 섹션 및 토탈케어 서비스 UI 구현",서울대 치과대·삼성서울병원 출신 30년 경력 원장과 토탈케어를 강조한 동탄 치과 리뉴얼 웹사이트,"서울대 치과대학·삼성서울병원 전문의 원장 이력과 30년 경력의 토탈케어 서비스를 핵심 신뢰 지표로 배치한 동탄 치과 리뉴얼 프로젝트입니다."
37,의정부참튼튼병원,"renewal, maintenance","리뉴얼 퍼블리싱 및 4년 운영 유지보수, 척추·관절·뇌신경·도수·비수술·수술 원스톱 진료 콘텐츠 관리",척추·관절·뇌신경·도수·비수술·수술 센터의 원스톱 진료 시스템을 아이콘 카드 UI로 안내하는 의정부 참튼튼병원 리뉴얼·유지보수,"6개 진료과목을 아이콘 카드 UI로 안내하는 원스톱 진료 시스템을 퍼블리싱하고, 4년간 언론보도·치료후기 콘텐츠를 지속 업데이트하며 퍼포먼스를 개선한 장기 운영 프로젝트입니다."
